,DailyAvgAirTemp,DailyCoolingDegreeDays,DailyHeatingDegreeDays
2005-01-01,48.0,0.0,17.0
2005-01-02,52.0,0.0,13.0
2005-01-03,50.0,0.0,15.0
2005-01-04,40.0,0.0,25.0
2005-01-05,36.0,0.0,29.0
2005-01-06,31.0,0.0,34.0
2005-01-07,31.0,0.0,34.0
2005-01-08,33.0,0.0,32.0
2005-01-09,39.0,0.0,26.0
2005-01-10,38.0,0.0,27.0
2005-01-11,48.0,0.0,17.0
2005-01-12,61.0,0.0,4.0
2005-01-13,49.0,0.0,16.0
2005-01-14,27.0,0.0,38.0
2005-01-15,22.0,0.0,43.0
2005-01-16,15.0,0.0,50.0
2005-01-17,7.0,0.0,58.0
2005-01-18,9.0,0.0,56.0
2005-01-19,26.0,0.0,39.0
2005-01-20,22.0,0.0,43.0
2005-01-21,12.0,0.0,53.0
2005-01-22,18.0,0.0,47.0
2005-01-23,4.0,0.0,61.0
2005-01-24,15.0,0.0,50.0
2005-01-25,29.0,0.0,36.0
2005-01-26,28.0,0.0,37.0
2005-01-27,12.0,0.0,53.0
2005-01-28,16.0,0.0,49.0
2005-01-29,28.0,0.0,37.0
2005-01-30,25.0,0.0,40.0
2005-01-31,20.0,0.0,45.0
2005-02-01,24.0,0.0,41.0
2005-02-02,25.0,0.0,40.0
2005-02-03,28.0,0.0,37.0
2005-02-04,34.0,0.0,31.0
2005-02-05,38.0,0.0,27.0
2005-02-06,42.0,0.0,23.0
2005-02-07,45.0,0.0,20.0
2005-02-08,42.0,0.0,23.0
2005-02-09,32.0,0.0,33.0
2005-02-10,26.0,0.0,39.0
2005-02-11,26.0,0.0,39.0
2005-02-12,39.0,0.0,26.0
2005-02-13,39.0,0.0,26.0
2005-02-14,43.0,0.0,22.0
2005-02-15,50.0,0.0,15.0
2005-02-16,39.0,0.0,26.0
2005-02-17,26.0,0.0,39.0
2005-02-18,21.0,0.0,44.0
2005-02-19,27.0,0.0,38.0
2005-02-20,39.0,0.0,26.0
2005-02-21,42.0,0.0,23.0
2005-02-22,35.0,0.0,30.0
2005-02-23,30.0,0.0,35.0
2005-02-24,25.0,0.0,40.0
2005-02-25,26.0,0.0,39.0
2005-02-26,32.0,0.0,33.0
